Employee_ID;Salary;Department
6631;7833;1
5502;4488;3
4531;2068;4
1137;4105;4
6647;8002;3
6840;3588;2
2171;3398;2
2081;2499;5
5287;8893;1
2020;5649;2
3170;6675;1
2968;2058;5
2128;3616;2
4937;8064;5
5695;1521;4
3320;2129;6
4654;1445;3
3779;4712;1
11;1448;6
5046;3678;1
5577;3204;1
4642;3488;2
617;6211;7
4200;8953;5
2391;8170;1
4854;7792;4
4748;7276;1
4345;4558;2
4727;7904;2
4006;1353;7
2198;7155;3
3331;7527;4
810;8570;6
2974;6939;3
3990;7184;3
4074;3537;1
369;6403;3
1051;2535;3
4466;6930;1
5511;4935;5
5602;5741;7
6487;3684;5
1547;1400;3
5419;6361;6
2138;1599;7
2217;6334;1
937;2611;2
996;7614;3
3137;3528;1
3203;8528;7
6445;8358;1
6944;4570;6
2443;5899;7
411;7841;5
4235;6947;5
5614;1958;7
1726;3099;2
4546;8779;6
2626;2933;5
4453;4639;2
5883;4392;5
2531;2687;1
5543;7984;1
5607;7665;7
3178;1577;3
2704;7647;2
2743;8967;5
2164;7465;5
6399;6598;3
3614;6493;6
251;5441;5
129;7992;2
1201;4480;1
4387;3099;6
896;2312;2
1170;4058;3
5086;8292;7
5956;4236;2
6005;5142;7
3340;2687;1
4377;3738;5
5587;1584;3
3928;5668;4
5083;2328;6
2473;4675;2
5714;8258;1
846;5804;1
523;5944;4
452;3115;4
5064;6904;5
2342;6057;1
2455;1699;1
3184;6958;2
5078;3489;3
375;3714;6
4947;8976;5
2632;7676;4
3219;1013;7
4246;8349;1
6813;6035;4
952;3884;3
1414;8607;6
2870;3166;1
1838;4306;4
327;7811;4
5669;7517;4
5361;5164;5
1538;6388;7
6155;8749;2
2672;8634;4
947;2733;7
4136;3927;2
2717;3220;5
6853;6442;6
4762;1102;4
3759;4096;5
6617;7532;6
5535;2511;7
883;7867;6
2793;4077;7
5266;4413;2
5230;7059;3
1318;5838;3
6038;7226;4
2452;5723;1
5898;3955;2
4068;8502;4
3421;1216;1
1016;4552;4
5794;2543;5
5401;6049;3
5706;3384;2
4370;7526;4
5026;4178;2
4965;3243;5
6791;6632;7
2510;6136;6
62;3346;1
4936;6293;3
3971;8561;7
2711;4953;3
2933;1655;2
6938;7670;1
3905;8303;6
4452;8012;7
2467;3014;7
3082;3749;5
1686;4495;5
901;3138;7
3393;5168;3
2872;5308;3
5611;2278;7
1253;2430;7
2940;1452;1
5601;3365;3
1740;8648;1
6805;3050;7
87;6358;7
4813;2526;2
97;5436;5
4648;1973;2
3036;2847;6
5337;4194;6
5278;5295;2
1065;2736;1
3751;8745;7
4165;4756;3
3467;2106;3
2074;3567;7
4175;4812;4
5681;6750;3
2392;1778;3
1086;1325;7
5447;6731;4
338;1169;3
2862;3963;1
1272;3633;1
70;1155;6
4890;6945;2
5553;5677;4
6978;4009;1
2246;7771;2
2642;4139;4
5068;3290;3
6501;4497;2
4228;1987;5
6412;7267;2
3031;7925;2
5464;1772;2
1;4677;7
1836;4993;4
5224;8071;5
291;4777;3
4371;4929;1
4347;4479;6
1405;4971;6
2127;6599;3
428;8941;3
5113;1397;4
6050;5448;7
650;5663;7
391;3497;4
6948;3239;4
2595;5196;2
2507;8381;1
1370;7696;5
4038;1673;5
3014;8337;1
2442;3705;4
1428;3191;1
4459;4932;5
4296;8269;5
2789;5943;3
4988;2053;1
157;2564;3
6404;3454;5
507;5288;3
6044;1040;6
5087;1047;5
609;1666;7
2855;6886;5
2289;8504;2
3226;3034;4
5393;8078;5
4306;7332;6
540;5826;4
1770;6767;1
3207;4023;5
5951;1657;3
139;7119;7
2264;4005;1
4585;1800;2
1702;8110;6
2377;3559;5
2673;7214;5
4594;7080;7
1425;2783;2
3922;3408;7
2457;1797;5
6547;4671;6
4875;4057;6
3476;5148;4
4257;7463;4
2593;2608;2
6495;2405;5
456;7983;6
4100;1286;7
5585;3281;4
5319;7812;7
6906;5752;5
3927;8006;3
1983;6436;7
6271;4414;4
4137;5622;3
5955;7329;5
5269;6823;4
6824;7928;7
5387;6389;1
6745;7626;5
1128;8154;7
324;4371;5
1780;7767;6
800;5279;4
1965;6898;2
3687;1191;5
2207;4492;4
2219;1060;2
3900;8962;3
709;8409;5
4054;3113;2
229;7392;1
2072;1038;5
3520;1965;2
1961;4290;5
3577;6287;3
2540;5953;7
1506;6154;1
6966;6169;7
3238;4141;2
3770;8611;4
3150;5239;2
3425;6311;7
1694;5797;5
5163;5338;3
4181;4475;1
1310;1487;6
2212;2394;4
2727;2609;2
113;1079;6
2266;8886;3
6454;5947;4
5574;7332;4
3558;2858;1
5584;2341;2
3412;1414;6
4621;5712;4
318;5393;2
6349;1666;1
4960;2674;7
6286;7397;2
6244;5789;2
423;2214;1
659;6705;4
3472;3930;6
292;6926;2
6366;6409;1
3414;3529;3
4602;8828;6
5463;5813;7
3545;4923;3
383;1241;5
1098;7282;5
929;8534;5
1021;8427;2
5754;6091;7
4825;3850;7
3112;4777;5
2017;4480;5
1420;3826;6
6447;5530;1
630;1057;4
