DataStructureType,Operation,10ktimes,20ktimes,30ktimes,40ktimes,50ktimes,60ktimes,70ktimes,80ktimes,90ktimes,100ktimes
Linked_List,ADD,0.00093,0.00021,0.000486667,0.0003625,0.000298,0.000338333,0.000505714,0.00034375,0.000415556,0.000349
Linked_List,UPDATE,0.00359,0.00598,0.0081,0.01309,0.015162,0.01692,0.02319,0.023525,0.0276356,0.028537
Linked_List,DELETE,0.01191,0.02043,0.0327433,0.039985,0.056598,0.063785,0.0723343,0.075715,0.08593,0.092235
Array,ADD,0.0106,0.018005,0.0263467,0.03502,0.044402,0.05735,0.0668929,0.0798838,0.08534,0.093099
Array,UPDATE,0.00396,0.007325,0.0120533,0.0148875,0.019018,0.02193,0.0272986,0.0314925,0.0346233,0.036631
Array,DELETE,0.01124,0.022045,0.0332733,0.04013,0.049642,0.0576333,0.0657357,0.0746688,0.0813822,0.086394
BST,ADD,0.00129,0.0045,0.00297,0.0034775,0.006014,0.00459167,0.00529714,0.00620375,0.00742222,0.007513
BST,UPDATE,0.00063,0.001105,0.000643333,0.00077,0.000818,0.000938333,0.0007,0.000785,0.000867778,0.000717
BST,DELETE,0.00212,0.00489,0.00280333,0.002215,0.004816,0.0053,0.00452571,0.00485875,0.00531556,0.006357
File_IO,ADD,0.13939,0.09545,0.125743,0.1061,0.139208,0.0921467,0.0972529,0.209556,0.0951367,0.09182
File_IO,UPDATE,0.65207,0.78062,1.03547,1.34595,1.57069,2.03808,1.88728,2.39664,2.36629,2.76138
File_IO,DELETE,0.7617,0.881405,1.05197,1.21955,1.64904,1.74454,1.72077,1.92014,2.01887,2.2535
Skip_List,ADD,0.00245,0.00258,0.00256,0.002475,0.002586,0.00291167,0.00255286,0.00262875,0.00275,0.002682
Skip_List,UPDATE,0.00092,0.00094,0.00094,0.0010775,0.001692,0.001185,0.00115571,0.00113375,0.00112444,0.001177
Skip_List,DELETE,0.00296,0.0038,0.00395333,0.00491,0.00603,0.00608167,0.00698143,0.00725,0.00636778,0.007091
STL_List,ADD,0.00101,0.00047,0.000526667,0.000445,0.000496,0.00052,0.000435714,0.0003775,0.000437778,0.000394
STL_List,UPDATE,0.05142,0.09115,0.14088,0.182672,0.230792,0.267157,0.308696,0.352683,0.406207,0.445326
STL_List,DELETE,0.06155,0.12906,0.198987,0.298635,0.315964,0.371745,0.430214,0.494249,0.565764,0.62078
STL_Map,ADD,0.00093,0.000925,0.00091,0.0015,0.001456,0.000951667,0.000927143,0.00096125,0.00140778,0.001524
STL_Map,UPDATE,0.00077,0.000775,0.00084,0.0014125,0.001358,0.000985,0.000915714,0.00093125,0.000938889,0.001136
STL_Map,DELETE,0.00156,0.00234,0.00223,0.00336,0.004162,0.00494,0.00328286,0.00610625,0.00463,0.006609
STL_Vector,ADD,0.00184,0.000635,0.00035,0.000625,0.000402,0.000395,0.000358571,0.00069,0.000344444,0.000443
STL_Vector,UPDATE,0.03691,0.06541,0.106267,0.138148,0.174574,0.205878,0.238781,0.276381,0.307996,0.352551
STL_Vector,DELETE,0.0348,0.07215,0.11081,0.147103,0.189874,0.218927,0.260631,0.29258,0.355662,0.366956
