Employee_ID;Salary;Department
5226;8472;7
1996;1703;7
1277;1351;3
3807;8905;6
5496;3888;5
4430;1157;2
5386;8690;3
5515;4353;7
728;3778;7
3406;5985;3
223;3065;3
2814;2671;2
4840;4857;7
1285;2045;5
1775;8570;1
3098;7876;3
4903;1961;6
2516;4488;2
1139;1696;1
729;7810;2
1880;8450;3
4110;1996;2
2830;3107;1
4296;8269;5
5987;6134;5
5201;4636;1
4414;2232;2
3176;7715;5
5202;4773;5
4688;4217;3
2011;1522;7
1730;8576;2
5662;5113;5
1154;8999;7
1750;4393;3
5221;5459;2
2914;8825;7
641;4744;7
4603;7604;6
5666;3007;7
2560;4614;7
1345;3263;3
3107;5986;3
2223;3685;7
5093;4554;3
5645;6669;2
2159;7954;2
1375;2954;6
4557;1691;1
57;2142;1
3175;6522;6
1192;1447;5
4371;4929;1
5023;2239;2
1188;7955;3
5460;4060;6
4360;7358;1
1825;6715;6
4665;4377;3
5878;3263;6
4733;1271;6
3819;8615;1
3206;8138;1
1953;6887;2
4866;7675;7
3556;3917;4
3180;3011;2
592;2135;6
5806;6088;2
4544;4222;7
4937;8064;5
2184;8296;4
5385;8969;1
1537;4517;5
1000;1286;4
5531;2595;1
4158;1257;2
474;2343;4
5837;4375;3
602;7903;1
5422;2799;4
1861;5535;3
2069;3091;5
2631;2501;7
908;4825;1
1215;5236;3
4188;8713;4
3498;1289;7
3932;2546;6
1848;3234;4
4755;4430;4
3415;6178;3
2911;6369;7
3299;4548;2
3739;6567;6
703;3562;4
1063;4840;7
1713;6551;1
1770;6767;1
3115;4347;5
4700;3847;3
4082;2819;4
1626;7990;3
4257;7463;4
5265;7287;3
1790;2226;3
942;6810;7
3059;8379;3
1140;2105;1
199;7288;4
4194;1829;2
225;6720;7
2787;5760;1
3440;3912;4
3655;4339;2
166;6905;5
3397;8214;7
5505;1234;7
1480;4142;2
4202;1974;1
1889;1819;2
3598;5310;4
1813;8202;5
5145;4752;4
1128;8154;7
1545;1727;5
2269;3434;4
706;7418;5
5085;1571;3
4581;5007;6
1766;5970;7
